nama_tempat,user,review,rating,tanggal
Unknown,Rofi Aulia Ghaisan,Kemarin ke sini buat acara farewell perpisahan magang bareng teman-teman kantor. Mie Gacoan emang nggak pernah gagal kalau buat acara kumpul rame-rame dengan budget yang aman di kantong mahasiswa/intern. …,4,5 bulan lalu
Unknown,Kevin Ewaldo,"Kalau soal makanan sih ya standar Gacoan lah ya. Rasanya enak, porsinya pas, pas banget buat dibeli untuk ngilangin lapar malem-malem. Jadi kalau datang ke sini, udah tau bakal dapat rasa yang konsisten. …",5,8 bulan lalu
Unknown,Anies rizki Lestari,"dari segi rasa dan makanan udah banyak yg beda ga konsisten seperti diawal,udang rambutannya ga kremes jdi kek produk gagal tpi sengaja dijual,kulit siomaynya kurang enak,enakan yg awal"" dijual,untuk mienya meski dignti tetep enak rasanya, semoga balik konsisten sama apa yg dijual di awal 🙏 …",4,2 bulan lalu
Unknown,Faisal Ardacandra,"Enak untuk pecinta mie level,gorengannya juga okelah,worth it,harga pelajar makan enak,ya disini aja,parkiran luas,pelayanan cepat,cuman td meja no 1 alatnya rusak,makanan udh siap dia tidak bunyi. Jd kita kedepan utk konfirmasi,pdahal pelayanannya cepat.",5,6 bulan lalu
Unknown,gambar simpel,Parkir tidak ditarik orangnya.. Sudah setara indomaret saja + mie lebih dikit dari biasanya juga es batu di minumannya kebanyakan jadinya minumannya Dikit isinya😤😮‍💨⚠️ …,2,7 bulan lalu
Unknown,Amelia Dita,"Nomor meja yg dipanggil lewat mikrofon kurang terdengar, tolong diperbaiki. Untuk makananannya enak, level 1 sudah cukup pedas",5,4 bulan lalu
Unknown,Agis Handa,"Pelayanan nya lama bngt,2 kli dapet shopeefood kesini selalu lama,paling kesel orderan ini customer pesen 1 minuman doang padahal dilayaninnya hampir set jam",1,7 bulan lalu
Unknown,Johntirta Channel,"Location :
Strategis di pinggir jalan raya Boulevard. …",4,setahun lalu
Unknown,Deby Deasty,"Tgl 17 feb 2026 jam 21.56 order a.n defa.

Sy mndptkan bad experience service thdp crew gacoan terutama yg bernama Ade …",1,4 bulan lalu
Unknown,Gita anisah Anisah,"Gak pernah ngantri, tempat deptalk terbaik ramah kantong mie enak  walaupun MLM beli udang keju agak asin tapi masih not bad lah Thai tea nya best",5,4 bulan lalu
Unknown,caca annisa,"sebenernya gue ngewajarin kalau beli online gamungkin bisa masih panas tp ini gue pesenan dianter jam 1 lewat 3 nyampe di tangan jam 1 lewat 17 bener bener cuma 14 menit tapi DINGIN GUA TERIMA NYAA ,gajelas bgt kesel",1,3 bulan lalu
Unknown,cinta amaliah,"06/01/2024 saya datang kesini karena excited deket dengan rumah.
pas saya datang ternayat zonk bgt
1.mie gacoan lvl 1nya malah kaya lvl 3 cabenya banyak bgt …",1,setahun lalu
Unknown,cencent,"Dimsum udang keju : dari sekian branch baru disini gw nemuin isian kejunya banyak bgt, ukurannya jadi lebih gendut2, gatau jg sih apa mungkin hoki aja gw yak
Mie gacoan lv 2 : cenderung kurang pedes dibanding lv 2 di branch laen …",4,setahun lalu
